project_id,repetition,status,returncode,timed_out,target_function_count,warnings,errors,lint_alerts,lint_alerts_per_function,diagnostic_codes_json
crust__libbeaufort,2,measured,0,False,79,5,0,5,0.06329113924050633,"{""clippy::manual_unwrap_or"": 1, ""unused_imports"": 4}"
crust__libwecan,0,measured,0,False,47,41,0,41,0.8723404255319149,"{""clippy::unnecessary_cast"": 1, ""dead_code"": 7, ""unused_imports"": 1, ""unused_variables"": 32}"
crust__libwecan,1,measured,0,False,39,48,0,48,1.2307692307692308,"{""clippy::unnecessary_cast"": 1, ""dead_code"": 7, ""unused_imports"": 1, ""unused_variables"": 39}"
crust__libwecan,2,measured,0,False,39,50,0,50,1.2820512820512822,"{""clippy::unnecessary_cast"": 1, ""dead_code"": 8, ""unused_imports"": 1, ""unused_variables"": 40}"
crust__linear-algebra-c,0,measured,0,False,237,4,0,4,0.016877637130801686,"{""clippy::manual_is_multiple_of"": 1, ""non_snake_case"": 1, ""unused_imports"": 2}"
crust__linear-algebra-c,1,measured,0,False,280,4,0,4,0.014285714285714285,"{""clippy::manual_is_multiple_of"": 1, ""non_snake_case"": 1, ""unused_imports"": 2}"
crust__linear-algebra-c,2,measured,0,False,243,4,0,4,0.01646090534979424,"{""clippy::manual_is_multiple_of"": 1, ""non_snake_case"": 1, ""unused_imports"": 2}"
crust__morton,0,measured,0,False,12,4,0,4,0.3333333333333333,"{""dead_code"": 2, ""unused_imports"": 1, ""unused_variables"": 1}"
crust__morton,1,measured,0,False,13,2,0,2,0.15384615384615385,"{""dead_code"": 1, ""unused_imports"": 1}"
crust__morton,2,measured,0,False,15,3,0,3,0.2,"{""dead_code"": 2, ""unused_imports"": 1}"
crust__murmurhash_c,0,measured,0,False,88,1,0,1,0.011363636363636364,"{""dead_code"": 1}"
crust__murmurhash_c,1,measured,0,False,50,1,0,1,0.02,"{""dead_code"": 1}"
crust__murmurhash_c,2,measured,0,False,42,2,0,2,0.047619047619047616,"{""clippy::manual_unwrap_or"": 1, ""dead_code"": 1}"
crust__nandc,0,measured,0,False,45,2,0,2,0.044444444444444446,"{""non_snake_case"": 1, ""unused_imports"": 1}"
crust__nandc,1,measured,0,False,43,2,0,2,0.046511627906976744,"{""non_snake_case"": 1, ""unused_imports"": 1}"
crust__nandc,2,measured,0,False,46,4,0,4,0.08695652173913043,"{""clippy::identity_op"": 2, ""non_snake_case"": 1, ""unused_imports"": 1}"
crust__phills_dht,0,measured,0,False,66,4,0,4,0.06060606060606061,"{""clippy::module_inception"": 1, ""non_snake_case"": 1, ""unused_imports"": 2}"
crust__phills_dht,1,measured,0,False,55,4,0,4,0.07272727272727272,"{""clippy::module_inception"": 1, ""non_snake_case"": 1, ""unused_imports"": 2}"
crust__phills_dht,2,measured,0,False,70,4,0,4,0.05714285714285714,"{""clippy::module_inception"": 1, ""non_snake_case"": 1, ""unused_imports"": 2}"
crust__razz_simulation,0,measured,0,False,71,80,0,80,1.1267605633802817,"{""clippy::assertions_on_constants"": 1, ""clippy::module_inception"": 2, ""dead_code"": 23, ""unused_variables"": 54}"
crust__razz_simulation,1,measured,0,False,95,107,0,107,1.1263157894736842,"{""clippy::assertions_on_constants"": 1, ""clippy::module_inception"": 4, ""dead_code"": 94, ""unused_imports"": 1, ""unused_variables"": 7}"
crust__razz_simulation,2,measured,0,False,97,44,0,44,0.4536082474226804,"{""clippy::assertions_on_constants"": 1, ""clippy::module_inception"": 2, ""dead_code"": 32, ""unused_imports"": 2, ""unused_variables"": 7}"
crust__rhbloom,0,measured,0,False,48,8,0,8,0.16666666666666666,"{""clippy::explicit_counter_loop"": 1, ""clippy::needless_range_loop"": 3, ""dead_code"": 1, ""unused_imports"": 1, ""unused_mut"": 2}"
crust__rhbloom,1,measured,0,False,58,8,0,8,0.13793103448275862,"{""clippy::explicit_counter_loop"": 1, ""clippy::needless_range_loop"": 3, ""dead_code"": 1, ""unused_imports"": 1, ""unused_mut"": 2}"
crust__rhbloom,2,measured,0,False,57,8,0,8,0.14035087719298245,"{""clippy::explicit_counter_loop"": 1, ""clippy::needless_range_loop"": 3, ""dead_code"": 1, ""unused_imports"": 1, ""unused_mut"": 2}"
crust__simple-sparsehash,0,measured,0,False,81,9,0,9,0.1111111111111111,"{""clippy::boxed_local"": 2, ""clippy::manual_is_multiple_of"": 1, ""clippy::needless_lifetimes"": 2, ""dead_code"": 1, ""non_snake_case"": 1, ""unused_imports"": 2}"
crust__simple-sparsehash,1,measured,0,False,78,5,0,5,0.0641025641025641,"{""clippy::boxed_local"": 1, ""dead_code"": 1, ""non_snake_case"": 1, ""unused_imports"": 2}"
crust__simple-sparsehash,2,measured,0,False,56,9,0,9,0.16071428571428573,"{""clippy::boxed_local"": 1, ""clippy::manual_is_multiple_of"": 1, ""clippy::needless_lifetimes"": 2, ""clippy::question_mark"": 1, ""dead_code"": 1, ""non_snake_case"": 1, ""unused_imports"": 2}"
crust__simplexml,0,measured,0,False,54,7,0,7,0.12962962962962962,"{""clippy::new_without_default"": 1, ""dead_code"": 1, ""non_snake_case"": 1, ""unused_imports"": 4}"
crust__simplexml,1,measured,0,False,53,7,0,7,0.1320754716981132,"{""clippy::new_without_default"": 1, ""dead_code"": 1, ""non_snake_case"": 1, ""unused_imports"": 4}"
crust__simplexml,2,measured,0,False,50,7,0,7,0.14,"{""clippy::new_without_default"": 1, ""dead_code"": 1, ""non_snake_case"": 1, ""unused_imports"": 4}"
crust__totp,0,measured,0,False,43,5,0,5,0.11627906976744186,"{""clippy::manual_is_multiple_of"": 1, ""clippy::needless_range_loop"": 1, ""dead_code"": 1, ""unused_imports"": 2}"
crust__totp,1,measured,0,False,47,5,0,5,0.10638297872340426,"{""clippy::manual_is_multiple_of"": 1, ""clippy::needless_range_loop"": 1, ""dead_code"": 1, ""unused_imports"": 2}"
crust__totp,2,measured,0,False,46,6,0,6,0.13043478260869565,"{""clippy::manual_div_ceil"": 1, ""clippy::manual_is_multiple_of"": 1, ""clippy::needless_range_loop"": 1, ""dead_code"": 1, ""unused_imports"": 2}"
crust__utf8,0,measured,0,False,72,2,0,2,0.027777777777777776,"{""dead_code"": 1, ""unused_imports"": 1}"
crust__utf8,1,measured,0,False,62,2,0,2,0.03225806451612903,"{""dead_code"": 1, ""unused_imports"": 1}"
crust__utf8,2,measured,0,False,63,3,0,3,0.047619047619047616,"{""clippy::manual_saturating_arithmetic"": 1, ""dead_code"": 1, ""unused_imports"": 1}"
crust__vec,0,measured,0,False,83,2,0,2,0.024096385542168676,"{""clippy::ptr_arg"": 1, ""unused_imports"": 1}"
crust__vec,1,measured,0,False,48,2,0,2,0.041666666666666664,"{""clippy::ptr_arg"": 1, ""unused_imports"": 1}"
crust__vec,2,measured,0,False,59,2,0,2,0.03389830508474576,"{""clippy::ptr_arg"": 1, ""unused_imports"": 1}"
